x,y,theta
0.4370955460599078,-0.0503887671403457,0.5982570852763619
0.4370958111702851,-0.05038917933348902,0.6015106326367635
0.4370961301772693,-0.05038956005552313,0.6047641829690804
0.43709643728373043,-0.05038993000658834,0.6080177290874761
0.4370966935366726,-0.05039025566497769,0.6112712266806953
0.43709693133868793,-0.05039058873848884,0.6145247184085174
0.43709714276163836,-0.05039096333306007,0.6177782226486221
0.4370973269574549,-0.05039137646513677,0.6210317340130262
0.43709751473746977,-0.05039184524693917,0.6242852696830055
0.43709782067490216,-0.05039237186898007,0.6275388802125419
0.43709820070328864,-0.05039281622806095,0.6307924781153149
0.4370985002038537,-0.05039318228995779,0.6340459988384096
0.4370987320186784,-0.05039355167959327,0.6372994993736644
0.43709896078737337,-0.050393893389998674,0.6405529826671233
0.43709915387308096,-0.05039426442370488,0.6438064648074023
0.4370993886779811,-0.05039462547293465,0.6470599564676838
0.4370996371429555,-0.05039504351244148,0.6503134813088199
0.4371000093287084,-0.050395402411878835,0.6535670163393416
0.43710036783798617,-0.05039577269961363,0.6568205526718913
0.43710064445113217,-0.05039620002345355,0.660074088965376
0.43710090911458527,-0.05039660789987053,0.6633276069673788
0.43710110866329177,-0.05039696650926663,0.6665810675752453
0.4371012564986435,-0.05039738949837432,0.6698345425488876
0.43710147170137853,-0.05039783481703174,0.6730880504712364
0.4371018258244785,-0.05039826078164259,0.6763416008618495
0.43710215704648414,-0.050398660023624954,0.6795951351646671
0.4371024495394927,-0.05039899755512003,0.682848616483794
0.4371027043078715,-0.05039936215769355,0.6861020958500633
0.4371029708336859,-0.05039973379807218,0.6893555790359653
0.4371032115460443,-0.05040013154175376,0.6926090706648735
0.43710351614134263,-0.05040049387536654,0.6958625623929133
0.43710378102179953,-0.050400897573531916,0.6991160564548089
0.4371040153533125,-0.05040133365124763,0.7023695526144712
0.43710436834565203,-0.05040167816888321,0.7056230457028764
0.4371046442327755,-0.050402087659206354,0.7088765463040083
0.4371049174173181,-0.050402450970826816,0.7121300173888413
0.437105178015497,-0.050402789754817934,0.7153834722166734
0.43710545933863165,-0.050403137429845146,0.718636934900166
0.4371057880224049,-0.050403525567166124,0.7218904388897521
0.43710609119109084,-0.05040395462864521,0.7251439510996589
0.437106377104425,-0.05040434840798268,0.7283974358329652
0.43710663913029735,-0.05040470138605114,0.731650891922615
0.43710688257792363,-0.050405020479788794,0.7349043229844702
0.43710715381408793,-0.05040535748549507,0.7381577688595259
0.4371074742836199,-0.05040573599070539,0.741411258605861
0.43710779331366756,-0.050406149144710526,0.7446647635088961
0.43710808311107036,-0.05040658718577352,0.7479182620836606
0.4371084223036771,-0.05040697538992873,0.7511717574761348
0.43710878165544714,-0.05040726586465868,0.7544252159479713
0.4371091160952049,-0.050407588936756134,0.757678682245703
0.4371093909703355,-0.050407973311382685,0.7609321520362795
0.43710971531415416,-0.05040829841207332,0.7641856106233087
